customer_id,first_name,last_name,country,city,email,signup_date,loyalty_status,age,email_original,signup_date_missing
CUST_1001,Gabriel,Simon,France,Marseille,gabriel.simon@gmail.com,10/5/2022,Silver,55.0,gabriel.simon@gmail.com,False
CUST_1002,Hannah,Schneider,Germany,Berlin,,1/13/2025,Gold,70.0,,False
CUST_1003,Jules,Martin,France,Lille,jules.martin@yahoo.com,9/8/2022,Unclassified,65.0,jules.martin@yahoo.com,False
CUST_1004,Jules,Michel,France,Marseille,jules.michel@icloud.com,10/19/2024,Unclassified,34.0,jules.michel@icloud.com,False
CUST_1009,Liam,Visser,Netherlands,Eindhoven,liam.visser@hotmail.com,7/24/2023,Unclassified,52.0,liam.visserhotmail.com,False
CUST_1010,Gabriel,Michel,Luxembourg,Esch-Sur-Alzette,gabriel.michel@icloud.com,1/28/2024,Unclassified,33.0,gabriel.michel@icloud.com,False
CUST_1011,Leon,Wagner,Germany,Munich,leon.wagner@yahoo.com,7/17/2022,Platinum,68.0,leon.wagner@yahoo.com,False
CUST_1012,Noah,de Vries,Netherlands,Utrecht,noah.devries@icloud.com,11/9/2021,Unclassified,27.0,noah.devries@icloud.com,False
CUST_1013,Mia,Weber,Germany,Frankfurt,mia.weber@hotmail.com,4/26/2025,Silver,67.0,mia.weberhotmail.com,False
CUST_1015,Lars,Martin,Luxembourg,Luxembourg City,lars.martin@yahoo.com,10/22/2024,Gold,69.0,LARS.MARTIN@YAHOO.COM,False
CUST_1016,Paul,Weber,Germany,Cologne,paul.weber@gmail.com,6/21/2021,Unclassified,31.0,paul.weber@gmail.com,False
CUST_1017,Daan,de Vries,Netherlands,The Hague,daan.devries@yahoo.com,2/16/2023,Platinum,49.0,daan.devries@yahoo.com,False
CUST_1021,Arthur,Mertens,Luxembourg,Luxembourg City,arthur.mertens@gmail.com,11/28/2024,Unclassified,66.0,arthur.mertens@gmail.com,False
CUST_1022,Sofie,Maes,Belgium,Leuven,sofie.maes@hotmail.com,1/26/2021,Silver,54.0,SOFIE.MAES@HOTMAIL.COM,False
CUST_1025,Finn,Schneider,Germany,Berlin,finn.schneider@hotmail.com,6/22/2025,Unclassified,40.0,finn.schneider@hotmail.com,False
CUST_1026,Louis,Simon,France,Lyon,louis.simon@gmail.com,5/8/2022,Unclassified,64.0,louis.simon@gmail.com,False
CUST_1028,Mia,Schneider,Germany,Stuttgart,mia.schneider@hotmail.com,1/30/2022,Unclassified,70.0,mia.schneider@hotmail.com,False
CUST_1031,Emma,Wagner,Germany,Berlin,emma.wagner@icloud.com,4/16/2021,Silver,53.0,emma.wagner@icloud.com,False
